date,time,code,open,high,low,close,volume,amount,adjustflag
2024-09-19,20240919104500000,sh.600000,8.4300,8.4500,8.4200,8.4400,1028900,8677544.0000,3
2024-09-19,20240919105000000,sh.600000,8.4400,8.4500,8.4300,8.4400,621600,5247456.0000,3
2024-09-19,20240919105500000,sh.600000,8.4400,8.4800,8.4400,8.4700,982800,8312448.0000,3
2024-09-19,20240919110000000,sh.600000,8.4700,8.4800,8.4600,8.4600,373700,3164160.0000,3
2024-09-19,20240919110500000,sh.600000,8.4600,8.4700,8.4400,8.4500,512600,4335120.0000,3
2024-09-19,20240919111000000,sh.600000,8.4500,8.4500,8.4400,8.4400,240000,2027232.0000,3
2024-09-19,20240919111500000,sh.600000,8.4400,8.4600,8.4200,8.4200,397300,3354080.0000,3
2024-09-19,20240919112000000,sh.600000,8.4200,8.4300,8.4200,8.4300,354900,2989552.0000,3
2024-09-19,20240919112500000,sh.600000,8.4300,8.4500,8.4200,8.4400,362200,3057040.0000,3
2024-09-19,20240919113000000,sh.600000,8.4400,8.4500,8.4400,8.4500,119400,1008688.0000,3
2024-09-19,20240919130500000,sh.600000,8.4500,8.4800,8.4400,8.4800,1629800,13786272.0000,3
2024-09-19,20240919131000000,sh.600000,8.4800,8.5000,8.4700,8.5000,918700,7797584.0000,3
2024-09-19,20240919131500000,sh.600000,8.5000,8.5000,8.4800,8.4900,629200,5341440.0000,3
2024-09-19,20240919132000000,sh.600000,8.4800,8.4900,8.4700,8.4800,245000,2077712.0000,3
2024-09-19,20240919132500000,sh.600000,8.4700,8.4800,8.4600,8.4700,503200,4261968.0000,3
2024-09-19,20240919133000000,sh.600000,8.4700,8.4800,8.4600,8.4800,230900,1955680.0000,3
2024-09-19,20240919133500000,sh.600000,8.4800,8.5000,8.4600,8.4900,1053900,8941248.0000,3
2024-09-19,20240919134000000,sh.600000,8.4900,8.5000,8.4900,8.5000,485800,4126528.0000,3
2024-09-19,20240919134500000,sh.600000,8.4900,8.5000,8.4800,8.5000,532500,4521664.0000,3
2024-09-19,20240919135000000,sh.600000,8.5000,8.5000,8.4800,8.4900,169000,1434976.0000,3
2024-09-19,20240919135500000,sh.600000,8.4900,8.4900,8.4700,8.4900,909900,7712928.0000,3
2024-09-19,20240919140000000,sh.600000,8.4900,8.4900,8.4700,8.4800,735200,6235968.0000,3
2024-09-19,20240919140500000,sh.600000,8.4800,8.4900,8.4800,8.4900,126000,1068768.0000,3
2024-09-19,20240919141000000,sh.600000,8.4900,8.4900,8.4800,8.4800,144600,1227152.0000,3
2024-09-19,20240919141500000,sh.600000,8.4900,8.5000,8.4800,8.5000,1574200,13370864.0000,3
2024-09-19,20240919142000000,sh.600000,8.5000,8.5100,8.4900,8.5100,2045400,17389136.0000,3
2024-09-19,20240919142500000,sh.600000,8.5100,8.5100,8.5000,8.5100,548100,4663520.0000,3
2024-09-19,20240919143000000,sh.600000,8.5100,8.5200,8.5000,8.5100,752700,6409920.0000,3
2024-09-19,20240919143500000,sh.600000,8.5100,8.5300,8.5100,8.5300,848100,7223360.0000,3
2024-09-19,20240919144000000,sh.600000,8.5300,8.5300,8.5100,8.5200,1196100,10189184.0000,3
2024-09-19,20240919144500000,sh.600000,8.5100,8.5200,8.4900,8.5000,749300,6373408.0000,3
2024-09-19,20240919145000000,sh.600000,8.5000,8.5200,8.5000,8.5200,955400,8131872.0000,3
2024-09-19,20240919145500000,sh.600000,8.5200,8.5300,8.5100,8.5200,1117900,9523104.0000,3
2024-09-19,20240919150000000,sh.600000,8.5300,8.5300,8.5100,8.5200,1028900,8767072.0000,3
2024-09-20,20240920093500000,sh.600000,8.4900,8.5500,8.4800,8.5500,1887900,16095501.0000,3
2024-09-20,20240920094000000,sh.600000,8.5500,8.5700,8.5200,8.5200,1057200,9029147.0000,3
2024-09-20,20240920094500000,sh.600000,8.5200,8.5300,8.4900,8.4900,507500,4320860.0000,3
2024-09-20,20240920095000000,sh.600000,8.5000,8.5100,8.4900,8.5000,420700,3575834.0000,3
2024-09-20,20240920095500000,sh.600000,8.5000,8.5200,8.4900,8.5100,757600,6445962.0000,3
2024-09-20,20240920100000000,sh.600000,8.5100,8.5300,8.5000,8.5200,410400,3494684.0000,3
2024-09-20,20240920100500000,sh.600000,8.5100,8.5200,8.5000,8.5100,541500,4608696.0000,3
2024-09-20,20240920101000000,sh.600000,8.5100,8.5400,8.5100,8.5100,709700,6051212.0000,3
2024-09-20,20240920101500000,sh.600000,8.5000,8.5400,8.5000,8.5400,305800,2605016.0000,3
2024-09-20,20240920102000000,sh.600000,8.5400,8.5500,8.5300,8.5400,310000,2646884.0000,3
2024-09-20,20240920102500000,sh.600000,8.5400,8.5600,8.5300,8.5500,424900,3630436.0000,3
2024-09-20,20240920103000000,sh.600000,8.5500,8.5700,8.5400,8.5500,1086600,9298632.0000,3
2024-09-20,20240920103500000,sh.600000,8.5600,8.5600,8.5200,8.5300,370600,3165136.0000,3
2024-09-20,20240920104000000,sh.600000,8.5300,8.5400,8.5200,8.5300,195600,1668032.0000,3
2024-09-20,20240920104500000,sh.600000,8.5400,8.5400,8.5200,8.5400,334200,2851568.0000,3
2024-09-20,20240920105000000,sh.600000,8.5300,8.5300,8.5200,8.5200,192100,1637768.0000,3
2024-09-20,20240920105500000,sh.600000,8.5200,8.5400,8.5200,8.5300,240200,2049176.0000,3
2024-09-20,20240920110000000,sh.600000,8.5300,8.5400,8.5200,8.5300,254100,2167888.0000,3
2024-09-20,20240920110500000,sh.600000,8.5400,8.5400,8.5200,8.5200,234200,1997808.0000,3
2024-09-20,20240920111000000,sh.600000,8.5200,8.5400,8.5200,8.5300,470800,4013624.0000,3
2024-09-20,20240920111500000,sh.600000,8.5300,8.5300,8.5000,8.5000,224100,1908416.0000,3
2024-09-20,20240920112000000,sh.600000,8.5100,8.5400,8.5100,8.5300,389800,3322688.0000,3
2024-09-20,20240920112500000,sh.600000,8.5300,8.5300,8.5100,8.5200,123600,1053584.0000,3
2024-09-20,20240920113000000,sh.600000,8.5200,8.5300,8.5100,8.5100,214200,1824024.0000,3
2024-09-20,20240920130500000,sh.600000,8.5100,8.5100,8.5000,8.5000,411700,3500984.0000,3
2024-09-20,20240920131000000,sh.600000,8.5000,8.5100,8.4800,8.4800,438900,3727048.0000,3
2024-09-20,20240920131500000,sh.600000,8.4900,8.4900,8.4700,8.4800,414100,3512304.0000,3
